beh_mod,beh_def
body_punches_back,body_shot
body_punches_lead,body_shot
front_kicks_back,push_kick
front_kicks_lead,teep
high_kicks_back,thai_kick
high_kicks_lead,switch_kick
hook_punches_back,hook_overhand
hook_punches_lead,hook
knee_knees_back,knee
knee_knees_lead,knee
low_kicks_back,low_kick
low_kicks_lead,low_kick
middle_kicks_back,thai_kick
middle_kicks_lead,switch_kick
straight_punches_back,cross
straight_punches_lead,jab
upper_punches_back,uppercut
upper_punches_lead,uppercut